@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,312,0,228,0,1,1,0.577778,1,0.422222,0.732394,1,1,0
1,290,22,120,108,0.526316,0.929487,0.707317,0.929487,0.292683,0.803324,0.759259,1.224203,0.014706
2,289,23,113,115,0.495614,0.926282,0.718905,0.926282,0.281095,0.809524,0.744444,1.244259,0.016667
3,288,24,98,130,0.429825,0.923077,0.746114,0.923077,0.253886,0.825215,0.714815,1.291351,0.111111
4,286,26,93,135,0.407895,0.916667,0.754617,0.916667,0.245383,0.827786,0.701852,1.306069,0.125
5,282,30,89,139,0.390351,0.903846,0.760108,0.903846,0.239892,0.825769,0.687037,1.315571,0.133333
6,280,32,85,143,0.372807,0.897436,0.767123,0.897436,0.232877,0.827179,0.675926,1.327713,0.137931
7,279,33,81,147,0.355263,0.894231,0.775,0.894231,0.225,0.830357,0.666667,1.341346,0.142857
8,277,35,80,148,0.350877,0.887821,0.77591,0.887821,0.22409,0.828102,0.661111,1.342922,0.157895
9,276,36,79,149,0.346491,0.884615,0.777465,0.884615,0.222535,0.827586,0.657407,1.345612,0.181818
10,274,38,74,154,0.324561,0.878205,0.787356,0.878205,0.212644,0.830303,0.644444,1.362732,0.190476
11,270,42,70,158,0.307018,0.865385,0.794118,0.865385,0.205882,0.828221,0.62963,1.374434,0.2
12,263,49,68,160,0.298246,0.842949,0.794562,0.842949,0.205438,0.81804,0.612963,1.375203,0.230769
13,262,50,65,163,0.285088,0.839744,0.801223,0.839744,0.198777,0.820031,0.605556,1.386733,0.25
14,261,51,64,164,0.280702,0.836538,0.803077,0.836538,0.196923,0.819466,0.601852,1.389941,0.272727
15,258,54,64,164,0.280702,0.826923,0.801242,0.826923,0.198758,0.81388,0.596296,1.386765,0.333333
16,250,62,60,168,0.263158,0.801282,0.806452,0.801282,0.193548,0.803859,0.574074,1.395782,0.4
17,249,63,60,168,0.263158,0.798077,0.805825,0.798077,0.194175,0.801932,0.572222,1.394698,0.6
18,248,64,60,168,0.263158,0.794872,0.805195,0.794872,0.194805,0.8,0.57037,1.393606,0.666667
19,246,66,59,169,0.258772,0.788462,0.806557,0.788462,0.193443,0.797407,0.564815,1.395965,0.701754
20,245,67,59,169,0.258772,0.785256,0.805921,0.785256,0.194079,0.795455,0.562963,1.394863,0.714286
21,242,70,59,169,0.258772,0.775641,0.803987,0.775641,0.196013,0.78956,0.557407,1.391515,0.75
22,237,75,57,171,0.25,0.759615,0.806122,0.759615,0.193878,0.782178,0.544444,1.395212,0.761905
23,233,79,55,173,0.241228,0.746795,0.809028,0.746795,0.190972,0.776667,0.533333,1.40024,0.782609
